,index,City,Family of four estimated monthly costs are without rent (using our estimator).,A single person estimated monthly costs are without rent.
0,0,Dublin,"3,243.80",916.05
1,1,Amsterdam,"3,533.91",992.15
2,2,Madrid,"2,554.09",725.61
3,3,Paris,"3,362.87",939.12
4,4,Berlin,"2,880.78",854.52
5,5,Milan,"3,138.52",887.48
6,6,London,"3,726.59 (3,152.03£)","1,073.84 (908.28£)"
7,7,Barcelona,"2,494.29",719.01
8,8,Frankfurt,"3,209.43",949.06
9,9,Lisbon,"1,962.39",561.58
