,index,City,Air_Quality_index_overall
0,0,Dublin,89
1,1,Amsterdam,152
2,2,Madrid,152
3,3,Paris,134
4,4,Berlin,170
5,5,Milan,109
6,6,London,148
7,7,Barcelona,195
8,8,Frankfurt,128
9,9,Lisbon,200
