index,city,position,updatedate,avgbasepay,minpay,avgpay,maxpay,positioninfo
0,Dublin,Junior Data Analyst Salaries in Dublin Area,Updated 2 May 2022,"€33,139",€29K,€33K,€40K,"How much does a Junior Data Analyst make in Dublin, Ireland? The average salary for a Junior Data Analyst is €33,139  in Dublin, Ireland. Salaries estimates are based on 11 salaries submitted anonymously to Glassdoor by Junior Data Analyst employees in Dublin, Ireland."
0,Amsterdam,Junior Data Analyst Salaries in Dublin Area,Updated 2 May 2022,"€33,139",€29K,€33K,€40K,"How much does a Junior Data Analyst make in Dublin, Ireland? The average salary for a Junior Data Analyst is €33,139  in Dublin, Ireland. Salaries estimates are based on 11 salaries submitted anonymously to Glassdoor by Junior Data Analyst employees in Dublin, Ireland."
0,Madrid,Junior Data Analyst Salaries in Dublin Area,Updated 2 May 2022,"€33,139",€29K,€33K,€40K,"How much does a Junior Data Analyst make in Dublin, Ireland? The average salary for a Junior Data Analyst is €33,139  in Dublin, Ireland. Salaries estimates are based on 11 salaries submitted anonymously to Glassdoor by Junior Data Analyst employees in Dublin, Ireland."
0,Paris,"Junior Data Analyst Salaries in Madrid, Spain Area",Updated 2 May 2022,"€26,404",€20K,€26K,€32K,"The average salary for Junior Data Analyst is €26,404 per year in the Madrid, Spain Area. The average additional cash compensation for a Junior Data Analyst in the Madrid, Spain Area is €3,118, with a range from €2,110 - €5,000. Salaries estimates are based on 36 salaries submitted anonymously to Glassdoor by Junior Data Analyst employees in the Madrid, Spain Area."
0,Berlin,"Junior Data Analyst Salaries in Paris, France Area",Updated 2 May 2022,"€39,835",€29K,€40K,€48K,"The average salary for Junior Data Analyst is €39,835 per year in the Paris, France Area. The average additional cash compensation for a Junior Data Analyst in the Paris, France Area is €12,308, with a range from €4,148 - €20,469. Salaries estimates are based on 33 salaries submitted anonymously to Glassdoor by Junior Data Analyst employees in the Paris, France Area."
0,Milan,"Junior Data Analyst Salaries in Paris, France Area",Updated 2 May 2022,"€39,835",€29K,€40K,€48K,"The average salary for Junior Data Analyst is €39,835 per year in the Paris, France Area. The average additional cash compensation for a Junior Data Analyst in the Paris, France Area is €12,308, with a range from €4,148 - €20,469. Salaries estimates are based on 33 salaries submitted anonymously to Glassdoor by Junior Data Analyst employees in the Paris, France Area."
0,London,"Junior Data Analyst Salaries in Milan, Italy Area",Updated 2 May 2022,"€26,537",€23K,€27K,No additional cash compensation has been reported for this role,"How much does a Junior Data Analyst make in Milan, Italy? The average salary for a Junior Data Analyst is €26,537  in Milan, Italy. Salaries estimates are based on 8 salaries submitted anonymously to Glassdoor by Junior Data Analyst employees in Milan, Italy."
